C.P.;Dirección;Horario;Latitud;Localidad;Longitud (WGS84);Margen;Municipio;Precio Adblue;Precio Amoniaco;Precio Biodiesel;Precio Bioetanol;Precio Biogas Natural Comprimido;Precio Biogas Natural Licuado;Precio Diésel Renovable;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E25;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 95 E85;Precio Gasolina 98 E10;Precio Gasolina 98 E5;Precio Gasolina Renovable;Precio Hidrogeno;Precio Metanol;Provincia;Remisión;Rótulo;Tipo Venta;% BioEtanol;% Éster metílico;IDEESS;IDMunicipio;IDProvincia;IDCCAA
47008;CARRETERA C-610 KM. 3,50;"L-V: 06:00-22:00; S: 08:00-22:00; D: 09:00-22:00";41.605444;VALLADOLID;-4,753333;I;Valladolid;;;;;;;;;;;1.705;;1.755;;;1.605;;;;1.715;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;11958;7410;47;08
47011;CTRA. DE CIRCUNVALACION, 113;L-D: 06:00-23:00;41.652;VALLADOLID;-4,704417;D;Valladolid;;;;;;;;;;;1.706;;1.746;;;1.593;1.653;;;;;;;VALLADOLID;OM;MOEVE;P;0,0;0,0;6148;7410;47;08
47009;AVENIDA BURGOS, 50;L-D: 24H;41.666167;VALLADOLID;-4,729028;D;Valladolid;;;;;;;;;;;1.569;;;;;1.389;;;;;;;;VALLADOLID;dm;ESPANOIL;P;0,0;0,0;14859;7410;47;08
47009;AVENIDA GIJON, 78;L-D: 24H;41.660861;VALLADOLID;-4,751611;D;Valladolid;;;;;;;;;;;1.569;;;;;1.389;;;;;;;;VALLADOLID;dm;PETROPRIX;P;0,0;0,0;14537;7410;47;08
47009;AVENIDA BURGOS, 100;L-D: 07:00-23:00;41.672694;VALLADOLID;-4,724333;I;Valladolid;;;;;;;1.799;;;;1.689;;;;;1.599;1.669;;;1.759;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6277;7410;47;08
47009;AVENIDA DE BURGOS, 33;L-D: 07:00-23:00;41.668;VALLADOLID;-4,728250;D;Valladolid;;;;;;;;;;;1.685;;1.735;;;1.605;1.675;;;1.765;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6222;7410;47;08
47009;CL CAMINO CABILDO, S.N.;L-D: 06:00-23:00;41.674278;VALLADOLID;-4,718611;D;Valladolid;;;;;;;;;;1.039;1.695;;1.745;;;1.619;;;;1.769;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6406;7410;47;08
47009;AVENIDA BURGOS, 34;L-D: 07:00-22:00;41.664139;VALLADOLID;-4,730750;D;Valladolid;;;;;;;;;;0.969;1.694;;1.76;;;1.594;1.653;;;;;;;VALLADOLID;dm;CEPSA;P;0,0;0,0;6239;7410;47;08
47009;AVDA.DE GIJON;L-D: 06:00-23:59;41.661111;VALLADOLID;-4,746083;N;Valladolid;;;;;;;;;;;1.645;;1.725;;;1.549;;;;1.649;;;;VALLADOLID;OM;SHELL;P;0,0;0,0;8555;7410;47;08
47009;AVENIDA DE BURGOS, 51;L-D: 00:00-23:59;41.674361;VALLADOLID;-4,724222;I;Valladolid;;;;;;;;;;;1.589;;1.689;;;1.449;;;;1.569;;;;VALLADOLID;OM;SHELL;P;0,0;0,0;11667;7410;47;08
47009;PLAZA SAN BARTOLOME, SN;L: 07:00-22:00;41.6605;VALLADOLID;-4,733472;I;Valladolid;;;;;;;;;;;1.689;;1.739;;;1.599;;;;;;;;VALLADOLID;dm;CEPSA;P;0,0;0,0;6248;7410;47;08
47009;AUTOVIA BURGOS KM. 117;"L-V: 07:00-22:00; S-D: 09:00-18:00";41.712556;VALLADOLID;-4,701222;I;Valladolid;0.85;;;;;;;;;;1.686;1.338;1.735;;;1.593;;;;1.673;;;;VALLADOLID;dm;CEPSA;P;0,0;0,0;6150;7410;47;08
47009;CALLE EURO, 17;L-D: 24H;41.672528;VALLADOLID;-4,717806;D;Valladolid;0.829;;;;;;;;;;1.599;;1.659;;;1.499;;;;;;;;VALLADOLID;dm;DST MERCAOLID;P;0,0;0,0;9482;7410;47;08
47009;AVENIDA BURGOS, 82;"L-V: 06:00-00:00; S: 09:00-14:00 y 16:00-21:00; D: 10:00-14:00 y 16:00-21:00";41.671139;VALLADOLID;-4,725306;I;Valladolid;;;;;;;;;;;1.569;;;;;1.389;;;;;;;;VALLADOLID;dm;GASEXPRESS;P;0,0;0,0;13492;7410;47;08
47010;CALLE COSTA BRAVA, 2;L-D: 24H;41.670028;VALLADOLID;-4,708639;N;Valladolid;;;;;;;;;;;1.669;;1.709;;;1.459;;;;1.759;;;;VALLADOLID;dm;CARREFOUR;P;0,0;0,0;6093;7410;47;08
47010;AVENIDA DE PALENCIA Nº 35;L-D: 07:00-23:00;41.661;VALLADOLID;-4,717556;N;Valladolid;;;;;;;;;;;1.689;;1.739;;;1.609;;;;1.769;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;9265;7410;47;08
47014;AUTOVIA PUENTE COLGANTE, URB. PARQUE SOL KM. S/N;L-D: 24H;41.642833;VALLADOLID;-4,763278;N;Valladolid;;;;;;;;;;;1.669;;1.709;;;1.459;;;;1.699;;;;VALLADOLID;dm;CARREFOUR;P;0,0;0,0;6092;7410;47;08
47014;CL.CIUDAD HABANA (PARQUESOL);L-D: 06:00-23:59;41.631889;VALLADOLID;-4,767361;N;Valladolid;;;;;;;;;;0.959;1.659;;1.739;;;1.589;;;;1.689;;;;VALLADOLID;OM;SHELL;P;0,0;0,0;8556;7410;47;08
47014;AVENIDA SALAMANCA, 80;L-D: 07:00-23:00;41.627806;VALLADOLID;-4,759639;D;Valladolid;;;;;;;1.805;;;;1.705;;;;;1.615;;;;1.765;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;12395;7410;47;08
47014;AVENIDA SALAMANCA, 126;L-D: 07:00-23:00;41.637972;VALLADOLID;-4,746639;D;Valladolid;;;;;;;1.805;;;1.039;1.695;;;;;1.605;;;;1.715;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6233;7410;47;08
47016;CALLE SANTIAGO LOPEZ GONZALEZ, 17;L-D: 06:00-23:59;41.628278;VALLADOLID;-4,769028;D;Valladolid;;;;;;;;;;;1.549;;1.66;;;1.374;;;;;;;;VALLADOLID;dm;LA ESTRELLA DE QATAR;P;0,0;0,0;12981;7410;47;08
47197;CALLE FRANCISCO UMBRAL, 3;L-D: 24H;41.628333;VALLADOLID;-4,761972;I;Valladolid;0.949;;;;;;;;;;1.586;;1.646;;;1.406;;;;1.666;;;;VALLADOLID;dm;LAS PALMERAS;P;0,0;0,0;15212;7410;47;08
47197;CALLE SANTIAGO LOPEZ GONZALEZ, 3;L-D: 24H;41.626083;VALLADOLID;-4,766556;D;Valladolid;;;;;;;;;;;1.549;;1.569;;;1.349;;;;;;;;VALLADOLID;OM;BALLENOIL;P;0,0;0,0;15074;7410;47;08
47071;AVENIDA BURGOS, 36;L-D: 24H;41.664278;NAVABUENA;-4,730472;D;Valladolid;;;;;;;;;;;1.569;;;;;1.389;;;;;;;;VALLADOLID;dm;PLENERGY;P;0,0;0,0;15556;7410;47;08
47609;CARRETERA FUENSALDAÑA KM. 2,7;L-D: 07:00-23:00;41.680694;VALLADOLID;-4,742167;D;Valladolid;;;;;;;;;;;1.705;;1.745;;;1.619;;;;1.769;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6327;7410;47;08
47133;AUTOPISTA A6 KM. 196;L-D: 07:00-23:00;41.597806;VEGA DE VALDETRONCO;-5,121806;D;Vega de Valdetronco;0.959;;;;;;;;;;1.639;;1.759;;;1.599;;;;1.789;;;;VALLADOLID;dm;BP ;P;0,0;0,0;4916;7414;47;08
47133;AUTOVIA A - 6 MADRID-LA CORUÑA KM. 193,800;L-D: 07:00-23:00;41.576056;VEGA DE VALDETRONCO;-5,099306;I;Vega de Valdetronco;;;;;;;;;;1.049;1.695;;1.735;;;1.625;;;;1.785;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6197;7414;47;08
47600;CALLE CARCABA, 2;"L-V: 07:30-21:30; S: 08:00-15:00";42.098056;VILLALON DE CAMPOS;-5,032389;D;Villalón de Campos;;;;;;;;;;;1.689;;1.759;;;1.569;;;;;;;;VALLADOLID;OM;REPSOL;P;0,0;0,0;6252;7437;47;08
47620;AVENIDA FUENTES CLARAS, 1;L-D: 24H;41.696889;VILLANUBLA;-4,827056;D;Villanubla;0.6;;;;;;;;;;1.479;;;;;1.379;;;;;;;;VALLADOLID;dm;BEROIL VILLANUBLA;P;0,0;0,0;15742;7440;47;08
47850;CR A-6, 224,6 (N-6 km 224,66);L-D: 24H;41.774333;VILLANUEVA DE LOS CABALLEROS;-5,311361;D;Villanueva de los Caballeros;1.05;;;;;;1.759;;;;1.699;;;;;1.649;;;;1.819;;;;VALLADOLID;dm;REPSOL;P;0,0;0,0;6201;7443;47;08
47850;CARRER MADRID-CORUÑA, 223;L-D: 07:00-23:00;41.785528;VILLANUEVA DE LOS CABALLEROS;-5,323944;I;Villanueva de los Caballeros;1.05;;;;;;1.759;;;;1.699;;;;;1.649;;;;1.819;;;;VALLADOLID;dm;REPSOL;P;0,0;0,0;6200;7443;47;08
47860;CARRETERA N-6 KM. 216;"L-V: 08:00-21:00; S: 08:00-16:00; D: 11:00-21:00";41.7235;VILLARDEFRADES;-5,252556;I;Villardefrades;;;;;;;;;;;1.675;;1.775;;;1.569;;;;1.729;;;;VALLADOLID;OM;PETRONOR;P;0,0;0,0;6342;7446;47;08
47860;AUTOVIA A-6 KM. 211;L-D: 24H;41.693278;VILLARDEFRADES;-5,218944;I;Villardefrades;0.949;;;;;;;;;;1.599;;1.599;;;1.489;1.489;;;;;;;VALLADOLID;dm;EASYGAS;P;0,0;0,0;11620;7446;47;08
47610;CALLE PARQUE DE OCIO EQUINOCIO, S/N;L-D: 07:00-23:00;41.659722;ZARATAN;-4,774333;N;Zaratán;;;;;;;;;;;1.559;;;;;1.379;;;;;;;;VALLADOLID;OM;GASOLINERA ZARATAN;P;0,0;0,0;6091;7455;47;08
47310;AVENIDA GIJÓN, 37;"L-V: 06:00-00:00; S: 09:00-14:00 y 16:00-21:00; D: 10:00-14:00 y 16:00-21:00";41.660944;ZARATAN;-4,766556;D;Zaratán;;;;;;;;;;;1.569;;;;;1.389;;;;;;;;VALLADOLID;dm;GASEXPRESS;P;0,0;0,0;13449;7455;47;08
